scope,k,arm,n_persons,n_targets,n_seeds,n_attempts,successes,rate,ci_lower,ci_upper,tau,tau_lower,tau_upper
ssn,32,trained,23,23,3,69,53,0.7681159420289855,0.6521739130434783,0.8695652173913043,-0.08695652173913049,-0.23188405797101452,0.0434782608695653
ssn,32,control,23,23,3,69,59,0.855072463768116,0.7681159420289855,0.927536231884058,-0.08695652173913049,-0.23188405797101452,0.0434782608695653
ssn,48,trained,23,23,3,69,58,0.8405797101449275,0.7246376811594203,0.927536231884058,0.02898550724637672,-0.13043478260869557,0.17391304347826086
ssn,48,control,23,23,3,69,56,0.8115942028985508,0.6956521739130435,0.9130434782608695,0.02898550724637672,-0.13043478260869557,0.17391304347826086
ssn,64,trained,23,23,3,69,55,0.7971014492753623,0.6956521739130435,0.8840579710144928,-0.14492753623188404,-0.26086956521739124,-0.04347826086956519
ssn,64,control,23,23,3,69,65,0.9420289855072463,0.8840579710144928,0.9855072463768116,-0.14492753623188404,-0.26086956521739124,-0.04347826086956519
email,0,trained,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,0,control,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,1,trained,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,1,control,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,2,trained,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,2,control,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,3,trained,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,3,control,25,25,3,75,0,0.0,0.0,0.13319225093904846,0.0,-0.13319225093904846,0.13319225093904846
email,4,trained,25,25,3,75,6,0.08,0.013333333333333334,0.17333333333333334,0.05333333333333333,-0.02666666666666667,0.16
email,4,control,25,25,3,75,2,0.02666666666666667,0.0,0.06666666666666667,0.05333333333333333,-0.02666666666666667,0.16
email,6,trained,25,25,3,75,29,0.38666666666666666,0.24,0.5466666666666666,-0.15999999999999998,-0.36,0.05333333333333329
email,6,control,25,25,3,75,41,0.5466666666666666,0.41333333333333333,0.68,-0.15999999999999998,-0.36,0.05333333333333329
email,8,trained,25,25,3,75,62,0.8266666666666667,0.72,0.92,0.0,-0.1466666666666666,0.14666666666666672
email,8,control,25,25,3,75,62,0.8266666666666667,0.7066666666666667,0.9333333333333333,0.0,-0.1466666666666666,0.14666666666666672
email,12,trained,25,25,3,75,74,0.9866666666666667,0.96,1.0,0.0,-0.040000000000000036,0.040000000000000036
email,12,control,25,25,3,75,74,0.9866666666666667,0.96,1.0,0.0,-0.040000000000000036,0.040000000000000036
email,16,trained,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,16,control,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
